in individual
loaded all graphs
Implication, Type Errors Model,Def/Use Model,Errors Model,NestedIfDefModel Errors Model,Parsing Errors Model,
__UCLIBC_HAS_COMPAT_RES_STATE__ => __UCLIBC_HAS_NETWORK_SUPPORT__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_BUILD_PIE__,0,0,0,0,0,
__UCLIBC_HAS_BACKTRACE__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __LDSO_PRELOAD_ENV_SUPPORT__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __TARGET_h8300__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_STDIO_BUILTIN_BUFFER_4__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_BSD_ERR__,0,0,0,0,0,
__UCLIBC_HAS_EPOLL__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_SYSLOG__,0,0,0,0,0,
__FORCE_OPTIONS_FOR_ARCH__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_GLIBC_DIGIT_GROUPING__ => __UCLIBC_HAS_LOCALE__,1,0,0,0,0,
__UCLIBC_HAS_SYS_SIGLIST__ => __UCLIBC_HAS_SIGNUM_MESSAGES__,0,0,0,0,0,
__TARGET_hppa__ => __ARCH_BIG_ENDIAN__,0,0,0,0,0,
__MALLOC_GLIBC_COMPAT__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_USE_NETLINK__ => __UCLIBC_HAS_SOCKET__,0,0,0,0,0,
__CONFIG_H8300H__ => __UCLIBC_UCLINUX_BROKEN_MUNMAP__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_386__,0,0,0,0,0,
__CONFIG_CRISV32__ => __TARGET_cris__,0,0,0,0,0,
__UCLIBC_HAS_GLIBC_DIGIT_GROUPING__ => __UCLIBC_HAS_FLOATS__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_ARM_EABI__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS64__ => __TARGET_mips__,0,0,0,0,0,
__TARGET_v850__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
